trip_id,start_time,end_time,has_shape,color
A20161106SAT_140400_GS.S01R,84240,84330,True,6D6E71
A20161106SAT_141000_GS.N01R,84600,84690,True,6D6E71
A20161106SAT_141400_GS.S01R,84840,84930,True,6D6E71
A20161106SAT_142000_GS.N01R,85200,85290,True,6D6E71
A20161106SAT_142400_GS.S01R,85440,85530,True,6D6E71
A20161106SAT_143000_GS.N01R,85800,85890,True,6D6E71
A20161106SAT_143400_GS.S01R,86040,86130,True,6D6E71
A20161106SAT_144000_GS.N01R,0,90,True,6D6E71
A20161106SAT_144400_GS.S01R,240,330,True,6D6E71
A20161106SAT_044500_GS.N03R,26700,26790,True,6D6E71
A20161106SAT_044900_GS.S03R,26940,27030,True,6D6E71
A20161106SAT_045500_GS.N03R,27300,27390,True,6D6E71
A20161106SAT_045900_GS.S03R,27540,27630,True,6D6E71
A20161106SAT_046500_GS.N03R,27900,27990,True,6D6E71
A20161106SAT_046900_GS.S03R,28140,28230,True,6D6E71
A20161106SAT_047500_GS.N03R,28500,28590,True,6D6E71
A20161106SAT_047900_GS.S03R,28740,28830,True,6D6E71
A20161106SAT_048500_GS.N03R,29100,29190,True,6D6E71
A20161106SAT_048900_GS.S03R,29340,29430,True,6D6E71
A20161106SAT_049500_GS.N03R,29700,29790,True,6D6E71
A20161106SAT_049900_GS.S03R,29940,30030,True,6D6E71
A20161106SAT_050500_GS.N03R,30300,30390,True,6D6E71
